ident,PNs,Date,Quantity,Material,Bought Out,Sub-Con,Machining,Fabrication,Test & Assy,Margin,Unit Cost,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Spare PNs,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Excel Name,Customer,Item Number,Deal Machine ID
Apache FCM EUK 1677678 WG Tree Rev 2.xlsx - 2,397970,2017-06-19,2,,146924.04,,,,,0.21,146924.04,186401.61,372803.22,[],0.0,186401.61,372803.22,Apache FCM EUK 1677678 WG Tree Rev 2.xlsx,Apache,2,
Apache FCM EUK 1681050 Casing hanger Rev 01 PV.xlsx - 1,A930748-1REF,2017-06-29,2,,4864.98,,,,,0.43,4864.98,8548.0,17096.0,[],0.0,8548.0,17096.0,Apache FCM EUK 1681050 Casing hanger Rev 01 PV.xlsx,Apache,1,
Apache FCM EUK 1681050 Casing hanger Rev 02.xlsx - 1,A930748-1REF,2017-08-23,2,,4646.61,,,,,0.46,4646.61,8548.0,17096.0,[],0.0,8548.0,17096.0,Apache FCM EUK 1681050 Casing hanger Rev 02.xlsx,Apache,1,
Apache FCM EUK 1683640 Rev 01 PV.xlsx - 1,A130978-1REF,2017-06-29,3,,13562.43,,,,,0.27,13562.43,18683.76,56051.28,[],0.0,18683.76,56051.28,Apache FCM EUK 1683640 Rev 01 PV.xlsx,Apache,1,
Apache FCM EUK 1683640 Rev 01 PV.xlsx - 2,A130980-1REF,2017-06-29,3,,1601.93,,,,,0.33,1601.93,2383.43,7150.29,[],0.0,2383.43,7150.29,Apache FCM EUK 1683640 Rev 01 PV.xlsx,Apache,2,
Apache FCM EUK 1683640 Rev 0 ANNA.xlsx - 1,A130978-1REF,2017-04-27,3,,13495.3,,,,,0.28,13495.3,18683.76,56051.28,[],0.0,18683.76,56051.28,Apache FCM EUK 1683640 Rev 0 ANNA.xlsx,Apache,1,
Apache FCM EUK 1683640 Rev 0 ANNA.xlsx - 2,A130980-1REF,2017-04-27,3,,1549.23,,,,,0.35,1549.23,2383.43,7150.29,[],0.0,2383.43,7150.29,Apache FCM EUK 1683640 Rev 0 ANNA.xlsx,Apache,2,
Apache FCM EUK 1701290 sleeves Rev 00.xlsx - 1,A944697-1,2017-05-30,6,,324.55,,,,,0.5,324.55,649.09,3894.55,[],0.0,649.09,3894.55,Apache FCM EUK 1701290 sleeves Rev 00.xlsx,Apache,1,
Apache EUK 1706951 FCM Valve Rev 00.xlsx - 1,397805,2017-06-28,1,,31142.72,1131.58,856.42,25.0,,0.27,33155.72,45418.8,45418.8,[],0.0,45418.8,45418.8,Apache EUK 1706951 FCM Valve Rev 00.xlsx,Apache,1,
Apache FCM EUK 1707460 valves Rev 00.xlsx - 1,162260,2017-06-13,4,,6219.39,,,,,0.27,6219.39,8519.71,34078.84,[],0.0,8519.71,34078.84,Apache FCM EUK 1707460 valves Rev 00.xlsx,Apache,1,
Apache FCM EUK 1707460 valves Rev 00.xlsx - 1,162260,2017-06-13,4,,6219.39,,,,,0.27,6219.39,8519.71,34078.84,[],0.0,8519.71,34078.84,Apache FCM EUK 1707460 valves Rev 00.xlsx,Apache,1,
EUK 1717528 - Apache - CM  -Rev 00.xlsx - 1,397765,2017-08-29,1,,15908.0,,75.0,,,0.3,15983.0,22832.86,22832.86,[],0.0,22832.86,22832.86,EUK 1717528 - Apache - CM  -Rev 00.xlsx,Apache,1,
EUK 1717528 - Apache - CM  -Rev 00.xlsx - 2,382900,2017-08-29,1,,15595.76,380.85,,25.0,,0.3,16001.61,22859.45,22859.45,[],0.0,22859.45,22859.45,EUK 1717528 - Apache - CM  -Rev 00.xlsx,Apache,2,
Apache FCM EUK 1722521 NHR Trees Rev 0.xlsx - 3,A242286-1REF,2017-11-01,1,,212790.49,5196.34,7350.0,4723.95,500.0,0.39,230560.78,375478.0,375478.0,[],0.0,375478.0,375478.0,Apache FCM EUK 1722521 NHR Trees Rev 0.xlsx,Apache,3,
Apache FCM EUK 1722521 Trees Rev 0.xlsx - 1,A292404-1,2018-01-18,1,,222149.42,,,,,0.22,222149.42,285362.35,285362.35,[],0.0,285362.35,285362.35,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,1,
Apache FCM EUK 1722521 Trees Rev 0.xlsx - 1.1,A292404-1,2018-01-18,2,,222149.42,,,,,0.22,222149.42,285362.35,570724.7,[],0.0,285362.35,570724.7,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,1.1,
Apache FCM EUK 1722521 Trees Rev 0.xlsx - 1.2,A292404-1,2018-01-18,5,,188493.54,,,,,0.29,188493.54,265192.76,1325963.8,[],0.0,265192.76,1325963.8,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,1.2,
Apache FCM EUK 1722521 Trees Rev 0.xlsx - 2,398594,2018-01-18,1,,141590.75,,,,,0.32,141590.75,208221.69,208221.69,[],0.0,208221.69,208221.69,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,2,
Apache FCM EUK 1722521 Trees Rev 0.xlsx - 2.1,398594,2018-01-18,2,,141590.75,,,,,0.32,141590.75,208221.69,416443.38,[],0.0,208221.69,416443.38,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,2.1,
Apache FCM EUK 1722521 Trees Rev 0.xlsx - 2.2,398594,2018-01-18,5,,121627.35,,,,,0.33,121627.35,181533.36,907666.8,[],0.0,181533.36,907666.8,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,2.2,
